Job_Number,Name_of_Work,Contractor,BR_Number,Gross,Nett,Deduction,Category
152-19-000060, Block Spot Removal in Ward No 152 S G Palya,SRIKANTAK,16.0,98722.0,92488.0,6234.0,
131-20-000003, Construction of Building in Wrad No 131,T  GOPINATH REDDY,233.0,2666842.0,2264557.0,402285.0,
105-20-000003, Construction of Bus Shelter in Ward No 105 AD Halli,Sri. Vijakumar H,115.0,1463813.0,1309620.0,154193.0,
076-20-000040, Depot Collection (Jelly and Dust) for the year 2019-20 in ward no 76 Gayathrinagara,NIKSHEP INFRA PROJEC,100.0,144140.0,132190.0,11950.0,
096-20-000009, Depot Collection for the year 2018-19 ward No 96,Chandrasagar m,29,825260.0,695776.0,129484.0,
126-20-000015, Development works in Kanakanagar Slum in ward no 126 Maruthimandira,"Executive Engineer,M/s. KRIDL, West Division,",234.0,9953865.0,8803742.0,1150123.0,
064-20-000041, Engaging Tractor and Labours for Debries Clearance works in ward no 64 Rajmahal Guttahhali,CHANNAKESHAVA M     ,79.0,1432000.0,1326020.0,105980.0,
076-20-000038, Engaging Tractor and Labours for Debries Clearance works in ward no 76 Gayathrinagara,RAJESH H G,70.0,1488330.0,1422825.0,65505.0,
066-20-000039, Engaging Tractor and Labours for debries Clerance work in ward no 66 Subramanya Nagar,JAGADEESHA NAIK N   ,58.0,1486520.0,1346785.0,139735.0,
035-20-000065, Engaging of Labour and Tractor for Cleaning of Debris in Sadashivanagar in Ward No 35,BABU C R,48.0,1436217.0,1301213.0,135004.0,
127-20-000005, Engaging the Gangman and Providing Tractor and JCB in Ward No 127,GNANENDRA MURTHY M D,18.0,1922850.0,1742100.0,180750.0,
138-17-000008, Improvements and Providing Furnitures to Ambedkar Bhavan in ward No. 138,L Mahesh,150.0,1989029.0,1781639.0,207390.0,
050-19-000039," Improvements to 1st, 2nd",Mr  VENKATESHA  S,54,4022007.0,3581260.0,440747.0,
118-17-000007, Maintainance and repairs to BBMP Buildings in ward No 118,Afzal Pasha,25,896500.0,860272.0,36228.0,
066-20-000043, Maintains of Building in Ward No 66 Subramanya Nagar,GULSHAN K LAKSHMAN  ,5.0,952603.0,907213.0,45390.0,
127-20-000007, Providinging CC Cameras in Ward No 127 Jurisdication,DEVIELECTRICALSPROP.,192.0,2892056.0,2727999.0,164057.0,
067-20-000138, Setting of Control Room Duty During Rainy Season in Ward no 67,SKBASAVARAJU,211.0,1432995.0,1316563.0,116432.0,
040-22-000013, Supply Of PVC Pipe and ISI Submersible Pipe at Doddabidarakallu Ward Limits in Ward No-40 of Herohalli Sub Division for the year 2021-22,023873 K N SHIVASHANKARAIAH,64.0,663798.0,600885.0,62913.0,
128-20-000077,Additional Construction of Basket ball court in Ward No 128 Nagarabhavi,SHIVAKUMAR T R      ,143.0,4983593.0,4564479.0,419114.0,
127-18-000028,Additional Development works to BDA Layout Kalyananagar ground in ward no 127,Technical Manager West KRIDL,117.0,996460.0,867490.0,128970.0,
103-20-000051,Additional Works for Someshwara Prarthana Mandira in Kaveripura in Ward No 103,HARISH A D,96.0,4977255.0,4575070.0,402185.0,
105-21-000008,Additional Works in Dhyana Mandira Building in ward No 105,CHINMAYE CONSTRUCTIO,295.0,4952648.0,4513430.0,439218.0,
147-17-000072,Additional construction works of Bayalu Ranga mandira in CAR police quatress at Ward No.147 Adugodi,SHREE SHIVASHAKTHI C,192.0,1450310.0,1363494.0,86816.0,
104-18-000005,Additional work BBMP Palike Soudha Building (2nd Phase) in ward no 104 Govindarajanagara,Technical Manager West KRIDL,86.0,7485672.0,6841832.0,643840.0,
075-19-000030,Additional works and other Development works at ward Office Building and surrounding in ward no 75 Shankarmutt,Sri. C M Dayanidhi,68.0,8957628.0,8597751.0,359877.0,
075-19-000030,Additional works and other Development works at ward Office Building and surrounding in ward no 75 Shankarmutt,Sri. C M Dayanidhi,120.0,912708.0,858580.0,54128.0,
104-19-000027,Additional works for construction of Multi purpose building (Palike Soudha) at MC Layout in ward no 104,KRIDL,116.0,7461894.0,6656188.0,805706.0,
035-17-000045,Additional works for construction of ward office at Janatha Bazar in ward no 35,Dhananjaya B S ,9.0,8675004.0,8180000.0,495004.0,
012-20-000007,"Additional works of BBMP multipurpose building at Abbiger in ward no 12 Shettyhalli, Shettyhalli Sub division",DHANANJAYA.M.L      ,38.0,3937147.0,3784162.0,152985.0,
012-20-000007,"Additional works of BBMP multipurpose building at Abbiger in ward no 12 Shettyhalli, Shettyhalli Sub division",DHANANJAYA.M.L      ,39.0,2067009.0,1960848.0,106161.0,
